# qyy pseudo-locale render — as-of 2026-09-10 (deterministic)
settings.heading	IDS_XR_SETTINGS_HEADING	‏«Séttîñgs ēx»
settings.search-label	IDS_XR_SETTINGS_SEARCH_LABEL	‏«Séárçh séttîñgs ēxðañ»
settings.search-results	IDS_XR_SETTINGS_SEARCH_RESULTS	‏«Séárçh résûlts ēxða»
settings.no-results	IDS_XR_SETTINGS_NO_RESULTS	‏«Nõ séttîñgs mátçh thîs qûéry. ēxðañd ēxð»
settings.results-count	IDS_XR_SETTINGS_RESULTS_COUNT	‏«résûlts ē»
settings.no-sections	IDS_XR_SETTINGS_NO_SECTIONS	‏«Nõ séttîñgs séçtîõñs áré áváîláblé. ēxðañd ēxðañd»
settings.host-unavailable	IDS_XR_SETTINGS_HOST_UNAVAILABLE	‏«Séttîñgs dátá îs ûñáváîláblé. ēxðañd ēxð»
settings.section-unavailable	IDS_XR_SETTINGS_SECTION_UNAVAILABLE	‏«séçtîõñ ûñáváîláblé ēxðañd»
settings.flag-off	IDS_XR_SETTINGS_FLAG_OFF	‏«Séttîñgs áré õff (xr_séttîñgs_v0=fálsé). ēxðañd ēxðañd ē»
settings.jumped-to	IDS_XR_SETTINGS_JUMPED_TO	‏«Jûmpéd tõ  ēxð{KEY} ({ANCHOR}).»
settings.badge.preempted	IDS_XR_SETTINGS_BADGE_PREEMPTED	‏«préémptéd ēx»
settings.badge.readonly-v0	IDS_XR_SETTINGS_BADGE_READONLY_V0	‏«réád-õñly îñ v0 ēxðañ»
settings.section.network	IDS_XR_SETTINGS_SECTION_NETWORK	‏«Nétwõrk ē»
settings.section.privacy	IDS_XR_SETTINGS_SECTION_PRIVACY	‏«Prîváçy ē»
settings.section.identity	IDS_XR_SETTINGS_SECTION_IDENTITY	‏«Idéñtîty ēx»
settings.network.adblock.title	IDS_XR_SETTINGS_NETWORK_ADBLOCK_TITLE	‏«Ad blõçkîñg ēxð»
settings.network.adblock.desc	IDS_XR_SETTINGS_NETWORK_ADBLOCK_DESC	‏«Whéthér áds áré blõçkéd. Sûrfáçéd frõm põlîçy îñ v0; ñõt ûsér-wrîtáblé. ēxðañd ēxðañd ēxðañd ēxðañd»
settings.network.tracker-block.title	IDS_XR_SETTINGS_NETWORK_TRACKER_BLOCK_TITLE	‏«Tráçkér blõçkîñg ēxðañ»
settings.network.tracker-block.desc	IDS_XR_SETTINGS_NETWORK_TRACKER_BLOCK_DESC	‏«Whéthér çrõss-sîté tráçkérs áré blõçkéd. Sûrfáçéd frõm põlîçy îñ v0. ēxðañd ēxðañd ēxðañd ēxðañ»
settings.network.https-upgrade.title	IDS_XR_SETTINGS_NETWORK_HTTPS_UPGRADE_TITLE	‏«HTTPS ûpgrádé ēxða»
settings.network.https-upgrade.desc	IDS_XR_SETTINGS_NETWORK_HTTPS_UPGRADE_DESC	‏«Whéthér pláîñ-HTTP réqûésts ûpgrádé tõ HTTPS. ēxðañd ēxðañd ēx»
settings.network.route.title	IDS_XR_SETTINGS_NETWORK_ROUTE_TITLE	‏«Rõûtîñg ē»
settings.network.route.desc	IDS_XR_SETTINGS_NETWORK_ROUTE_DESC	‏«Hõw tráffîç îs rõûtéd, îñçlûdîñg prõxy séttîñgs. Sûrfáçéd frõm põlîçy îñ v0. ēxðañd ēxðañd ēxðañd ēxðañd ē»
settings.privacy.notifications.title	IDS_XR_SETTINGS_PRIVACY_NOTIFICATIONS_TITLE	‏«Nõtîfîçátîõñs ēxða»
settings.privacy.notifications.desc	IDS_XR_SETTINGS_PRIVACY_NOTIFICATIONS_DESC	‏«Whéthér sîtés máy ásk tõ séñd ñõtîfîçátîõñs. ēxðañd ēxðañd ēx»
settings.privacy.storage-in-memory.title	IDS_XR_SETTINGS_PRIVACY_STORAGE_IN_MEMORY_TITLE	‏«Iñ-mémõry stõrágé ēxðañ»
settings.privacy.storage-in-memory.desc	IDS_XR_SETTINGS_PRIVACY_STORAGE_IN_MEMORY_DESC	‏«Whéthér thîs îdéñtîty kééps îts sîté dátá îñ mémõry õñly, wîth ñõ õñ-dîsk páth. ēxðañd ēxðañd ēxðañd ēxðañd ēx»
settings.privacy.letterbox.title	IDS_XR_SETTINGS_PRIVACY_LETTERBOX_TITLE	‏«Léttérbõxîñg ēxð»
settings.privacy.letterbox.desc	IDS_XR_SETTINGS_PRIVACY_LETTERBOX_DESC	‏«Whéthér thé wîñdõw îs léttérbõxéd tõ résîst sçrééñ-sîzé fîñgérprîñtîñg. ēxðañd ēxðañd ēxðañd ēxðañd»
settings.privacy.vault-export.title	IDS_XR_SETTINGS_PRIVACY_VAULT_EXPORT_TITLE	‏«Váûlt éxpõrt ēxð»
settings.privacy.vault-export.desc	IDS_XR_SETTINGS_PRIVACY_VAULT_EXPORT_DESC	‏«Whéthér éxpõrtîñg thé îdéñtîty váûlt îs állõwéd. Sûrfáçéd frõm põlîçy îñ v0. ēxðañd ēxðañd ēxðañd ēxðañd ē»
settings.identity.kind.title	IDS_XR_SETTINGS_IDENTITY_KIND_TITLE	‏«Idéñtîty kîñd ēxða»
settings.identity.kind.desc	IDS_XR_SETTINGS_IDENTITY_KIND_DESC	‏«Thé îdéñtîty typé, éphémérál õr dûráblé. ēxðañd ēxðañd ē»
settings.identity.storage.title	IDS_XR_SETTINGS_IDENTITY_STORAGE_TITLE	‏«Stõrágé ē»
settings.identity.storage.desc	IDS_XR_SETTINGS_IDENTITY_STORAGE_DESC	‏«Whéré thîs îdéñtîty's sîté dátá lîvés. ēxðañd ēxðañd »
settings.identity.default_grade.title	IDS_XR_SETTINGS_IDENTITY_DEFAULT_GRADE_TITLE	‏«Défáûlt grádé ēxða»
